日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-03-22,=10420.4854,=15223.3795,=1242828651660.7302,=1061249466572,=641077511887.1400,=2.8682,=0.1021,=4.0842,=3.5242,=2.9950
2023-03-21,=10499.8743,=15339.3594,=1253268082411.9497,=1069592458390,=646346549508.3700,=2.8931,=0.1284,=4.0842,=3.5253,=2.9984
2023-03-20,=10242.2433,=14962.9840,=1221496584187.9399,=1041495453455,=629797967478.7600,=2.8198,=0.0748,=4.0843,=3.5264,=2.9984
2023-03-17,=10316.0356,=15070.7878,=1229086459237.8999,=1048532785906,=633303357903.7201,=2.8373,=0.0815,=4.0843,=3.5268,=3.0010
2023-03-16,=10360.0194,=15135.0441,=1233050150930.1799,=1049946259750,=633596606815.8101,=2.8464,=0.0868,=4.0843,=3.5272,=3.0012
2023-03-15,=10516.5272,=15363.6877,=1247405454246.0098,=1058460976276,=639842771278.0999,=2.8796,=0.1120,=4.0843,=3.5281,=3.0031
2023-03-14,=10448.3883,=15264.1430,=1244238618219.9199,=1056235189524,=638992305712.4501,=2.8723,=0.1055,=4.0843,=3.5290,=3.0040
2023-03-13,=10623.3829,=15519.7942,=1264702036190.8601,=1072176568872,=648833899129.2300,=2.9195,=0.1453,=4.0933,=3.5296,=3.0040
2023-03-10,=10469.8935,=15295.5602,=1243116454794.7800,=1051384018177,=635220656113.0200,=2.8705,=0.1019,=4.0933,=3.5302,=3.0067
2023-03-09,=10731.7940,=15678.1729,=1274720905552.2800,=1079354988509,=652636834386.0201,=2.9434,=0.1550,=4.0933,=3.5307,=3.0078
2023-03-08,=10774.5629,=15740.6544,=1277843555718.1001,=1080941244833,=652790573408.5701,=2.9507,=0.1592,=4.0933,=3.5313,=3.0078
2023-03-07,=10823.1633,=15811.6552,=1284972663294.7200,=1086911114602,=656025813736.3901,=2.9671,=0.1687,=4.0933,=3.5319,=3.0086
2023-03-06,=11039.1169,=16127.1438,=1309230981631.1904,=1109127883111,=668475797299.7500,=3.0231,=0.2114,=4.0958,=3.5325,=3.0086
2023-03-03,=11102.6200,=16219.9160,=1323606291787.6399,=1124292740951,=677286363041.9600,=3.0563,=0.2357,=4.0958,=3.5329,=3.0086
2023-03-02,=11130.9755,=16261.3407,=1323851543897,=1122808989736,=675683907020.4900,=3.0569,=0.2373,=4.0958,=3.5333,=3.0086
2023-03-01,=11172.2670,=16321.6638,=1326355212259.0601,=1124004076326,=675789535020.6702,=3.0627,=0.2417,=4.0958,=3.5351,=3.0086
2023-02-28,=11011.5702,=16086.9005,=1305030419145.3904,=1101922307208,=660798024428.2999,=3.0134,=0.2072,=4.0958,=3.5368,=3.0086
2023-02-27,=11011.5039,=16086.8037,=1303699212431.7195,=1101317226482,=659362357200.1200,=3.0104,=0.2035,=4.0990,=3.5369,=3.0078
2023-02-24,=11151.9184,=16224.8297,=1319537935471.4695,=1115566850641,=670242388537.8000,=3.0078,=0.1984,=4.0990,=3.5371,=3.0078
2023-02-23,=11277.4391,=16407.4486,=1335542197835.2100,=1129047816198,=677831961961.2800,=3.0443,=0.2242,=4.0990,=3.5372,=3.0086
2023-02-22,=11142.6055,=16211.2804,=1320832572674.3503,=1115936177976,=669626799872.8400,=3.0108,=0.2030,=4.0990,=3.5373,=3.0086
2023-02-21,=11176.0354,=16259.9173,=1326718606046.6101,=1120887639421,=674181996077.3501,=3.0242,=0.2100,=4.0990,=3.5386,=3.0086
2023-02-20,=11038.5096,=16059.8322,=1313606031556.1101,=1107536977091,=666521646959.2601,=2.9943,=0.1887,=4.1006,=3.5399,=3.0078
2023-02-17,=10518.8338,=15303.7603,=1254493472133.8401,=1059452160893,=638062897288.5701,=2.8596,=0.0945,=4.1006,=3.5405,=3.0086
2023-02-16,=10586.0720,=15401.5846,=1259505728409.8401,=1061081717902,=640916485689.1398,=2.8710,=0.1027,=4.1006,=3.5410,=3.0095
2023-02-15,=10730.2745,=15611.3835,=1272034964020.7202,=1072009486305,=645970889584.5602,=2.8995,=0.1245,=4.1006,=3.5414,=3.0129
