日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2015-10-12,=2628.3600,=3427.9147,=1263253546810.8999,=893601881591,=427119717026.2299,=2.2205,=0.3797,=2.7646,=2.3335,=2.0428
2015-10-09,=2536.9100,=3308.6527,=1221909533398.3999,=863524399820,=412329367914.3000,=2.1478,=0.2903,=2.7646,=2.3337,=2.0428
2015-10-08,=2519.1100,=3285.4293,=1214114198508.3999,=857288695289,=409487624578.0500,=2.1341,=0.2757,=2.7646,=2.3415,=2.0428
2015-09-30,=2448.0200,=3192.7213,=1180762265591.8999,=833022567518,=397940922564.5400,=2.0755,=0.2228,=2.7646,=2.3494,=2.0428
2015-09-29,=2448.5700,=3193.4364,=1179554030736.4004,=832877751571,=398060912802.8200,=2.0733,=0.2186,=2.7646,=2.3548,=2.0428
2015-09-28,=2502.4800,=3263.7501,=1203131930569.8003,=850033241407,=406758595349.3100,=2.1148,=0.2418,=2.7733,=2.3602,=2.0355
2015-09-25,=2497.2000,=3256.8526,=1199148220920.3999,=848130135108,=405937353857.7000,=2.1078,=0.2376,=2.7733,=2.3623,=2.0355
2015-09-24,=2555.1700,=3332.4654,=1227533471584.8000,=867169625025,=415392083737.9101,=2.1577,=0.2778,=2.7733,=2.3643,=2.0355
2015-09-23,=2538.8800,=3311.2198,=1219825436186.3999,=862222724113,=411624216049.3001,=2.1433,=0.2682,=2.7733,=2.3655,=2.0355
2015-09-22,=2606.4400,=3399.3263,=1250687514085.8003,=886297119786,=422570493049.1301,=2.1975,=0.3090,=2.7733,=2.3667,=2.0355
2015-09-21,=2632,=3432.6704,=1258584385349.8000,=894282958657,=426533272253.0300,=2.2114,=0.3390,=2.7744,=2.3897,=2.0321
2015-09-18,=2617.1200,=3413.2611,=1246609516064.1001,=888365894669,=423932403625.7801,=2.1904,=0.2955,=2.7744,=2.4127,=2.0321
2015-09-17,=2642.9000,=3446.8811,=1254102739387.4998,=897665642124,=428808551287.5000,=2.2006,=0.3143,=2.7744,=2.4175,=2.0321
2015-09-16,=2701.1700,=3522.8719,=1281061643693.5000,=918025483980,=438306714761.1000,=2.2479,=0.3736,=2.7744,=2.4224,=2.0321
2015-09-15,=2573.3400,=3356.1635,=1216625006747.2002,=872679227983,=417380965330.2301,=2.1348,=0.2717,=2.7744,=2.4230,=2.0321
2015-09-14,=2682.7000,=3498.7942,=1267537843497.7002,=907847294411,=435035794791.6300,=2.2242,=0.3430,=2.7848,=2.4236,=2.0318
2015-09-11,=2788.9400,=3637.3415,=1315206683883.3999,=942528308980,=452185308335.2600,=2.3078,=0.4094,=2.7848,=2.4316,=2.0318
2015-09-10,=2804.9000,=3658.1622,=1320662748956.9004,=947439507277,=454833871148.6199,=2.3174,=0.4294,=2.7848,=2.4396,=2.0318
2015-09-09,=2862.8800,=3733.7791,=1348667604180,=967679007340,=464247820496.4300,=2.3667,=0.4734,=2.7848,=2.4407,=2.0318
2015-09-08,=2813.4100,=3669.2555,=1329672085991.6001,=953119875850,=456307240550.8000,=2.3333,=0.4464,=2.7848,=2.4417,=2.0318
