日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2021-09-17,=5112.4106,=5555.2300,=2490761919134.9707,=2062304682050,=1376049712841.1804,=5.9186,=0.9389,=3.8215,=2.6393,=1.9265
2021-09-16,=5170.0197,=5617.8300,=2518358705946.6396,=2084667907526,=1390779517055.4700,=5.9842,=0.9473,=3.8133,=2.6367,=1.9265
2021-09-15,=5497.5601,=5973.7400,=2677800553225.4302,=2210155177518,=1473979943638.4902,=6.3630,=0.9727,=3.8133,=2.6353,=1.9255
2021-09-14,=5364.3056,=5828.9400,=2609672066185.0601,=2152365495574,=1437758223635.9397,=6.2011,=0.9642,=3.8019,=2.6338,=1.9255
2021-09-13,=5347.8104,=5810.8400,=2601142076019.1802,=2147203800052,=1433386817179.2698,=6.1791,=0.9607,=3.7955,=2.6321,=1.9255
2021-09-10,=5541.4366,=6021.2300,=2695367634878.2100,=2222929170024,=1484010694296.7195,=6.4029,=0.9812,=3.7575,=2.6303,=1.9255
2021-09-09,=5434.5865,=5905.1300,=2641426219351.0400,=2180099863735,=1456281836406.9502,=6.2748,=0.9691,=3.7492,=2.5711,=1.9255
2021-09-08,=5435.8973,=5906.5500,=2648123201014.9805,=2186214913142,=1461853664998.0403,=6.2907,=0.9708,=3.7492,=2.5119,=1.9255
2021-09-07,=5640.2317,=6128.5800,=2750911435830.4995,=2269284003399,=1515868088623.0403,=6.5348,=0.9914,=3.6760,=2.4902,=1.9255
2021-09-06,=5515.7571,=5993.3300,=2692281964825.4604,=2219200189226,=1483974973006.9097,=6.3956,=0.9828,=3.6760,=2.4685,=1.9255
2021-09-03,=5614.0844,=6100.1700,=2743503604517.1001,=2254878058511,=1505758054660.3201,=6.5172,=0.9914,=3.6752,=2.4500,=1.9255
2021-09-02,=5784.0625,=6284.8600,=2848332016273.3589,=2336414320109,=1553517678187.1802,=6.7663,=0.9965,=3.6708,=2.4315,=1.9255
2021-09-01,=5496.2397,=5972.1200,=2706538151845.0698,=2221984515859,=1480487723150.7302,=6.4294,=0.9896,=3.6708,=2.4210,=1.9238
2021-08-31,=5846.7172,=6352.9400,=2875842434543.9609,=2359212458141,=1567901207371.6499,=6.8316,=0.9983,=3.6628,=2.4105,=1.9238
2021-08-30,=5892.5370,=6402.7300,=2929672863433.1592,=2409435695100,=1602534811373.3774,=6.9801,=1,=3.6573,=2.4032,=1.9238
2021-08-27,=5588.3257,=6072.1800,=2774354083377.1797,=2281825123401,=1513543595750.1692,=6.6389,=1,=3.6536,=2.3958,=1.9238
2021-08-26,=5456.7762,=5929.2400,=2702163085520.3389,=2217045543749,=1466029070017.1333,=6.4995,=0.9983,=3.6522,=2.3898,=1.9238
2021-08-25,=5486.2957,=5961.3200,=2717618746052.1899,=2233764780032,=1479703499469.9197,=6.5461,=1,=3.6522,=2.3838,=1.9232
2021-08-24,=5254.7082,=5709.6800,=2593712592193.2402,=2134352781673,=1414953778061.4795,=6.2476,=0.9877,=3.6457,=2.3816,=1.9232
2021-08-23,=5172.1293,=5619.9500,=2538035436393.3003,=2090533825411,=1382404482063.2524,=6.1611,=0.9842,=3.6447,=2.3794,=1.9232
2021-08-20,=4991.3327,=5423.5000,=2451888043510.8906,=2026080463759,=1338373684066.4829,=5.9520,=0.9754,=3.6381,=2.3719,=1.9232
2021-08-19,=4962.2770,=5391.9300,=2450052117013.4092,=2019844371484,=1333599780601.7136,=5.9258,=0.9736,=3.6329,=2.3644,=1.9232
2021-08-18,=4859.3099,=5280.0400,=2414533279777.1299,=1992395063884,=1316717823455.5596,=5.8441,=0.9700,=3.6329,=2.3601,=1.9231
2021-08-17,=4949.1623,=5377.6800,=2460381731456.4004,=2034074588865,=1333776200517.8845,=6.0276,=0.9806,=3.6309,=2.3558,=1.9231
2021-08-16,=5004.9201,=5438.2600,=2488601358810.4897,=2052486887111,=1345387199550.0076,=6.0968,=0.9823,=3.6298,=2.3437,=1.9231
2021-08-13,=5091.8789,=5532.7500,=2528003031061.8101,=2074097469095,=1363514861131.5337,=6.1937,=0.9858,=3.6292,=2.3315,=1.9231
2021-08-12,=5166.1378,=5613.4400,=2570721122263.2202,=2106679916045,=1387900315760.3633,=6.2984,=0.9893,=3.6258,=2.3184,=1.9231
2021-08-11,=5198.7384,=5648.8600,=2582696626776.7402,=2114592360861,=1393991633584.8584,=6.3277,=0.9911,=3.6258,=2.3052,=1.9229
2021-08-10,=5208.7992,=5659.7900,=2599612922153.8188,=2126156928321,=1401184621348.2468,=6.3692,=0.9964,=3.6212,=2.2986,=1.9229
2021-08-09,=5192.3255,=5641.8900,=2596614052608.1499,=2101919044059,=1400377465305.2971,=6.3685,=0.9964,=3.6177,=2.2920,=1.9229
2021-08-06,=5283.3046,=5740.7500,=2643218235787.6904,=2136066867338,=1430529906822.1670,=6.4928,=1,=3.6167,=2.2918,=1.9229
