日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2023-02-02,=2988.4900,=3360.5700,=980878228678.3700,=794083399124,=527421043031.4100,=3.4708,=0.3691,=4.5283,=3.7298,=3.1909
2023-02-01,=2974.3300,=3344.6500,=977222766062.9600,=791753987202,=524991287999.8801,=3.4578,=0.3611,=4.5283,=3.7302,=3.1909
2023-01-31,=2929.6900,=3294.4500,=963175423981.8900,=779886849598,=517301848467.3800,=3.4081,=0.3253,=4.5283,=3.7303,=3.1909
2023-01-30,=2905.6700,=3267.4400,=950666501051.4198,=771115071987,=511288433577.5799,=3.3639,=0.2879,=4.5283,=3.7303,=3.1909
2023-01-20,=2896.3400,=3256.9500,=950357357627.3101,=771051462815,=512425877048.9600,=3.3628,=0.2875,=4.5283,=3.7311,=3.1909
2023-01-19,=2882.0200,=3240.8400,=948142619558.1200,=768158266543,=510974777478.3799,=3.3549,=0.2817,=4.5285,=3.7318,=3.1905
2023-01-18,=2891.6000,=3251.6200,=952682198621.5398,=771284134547,=512744896554.4300,=3.3710,=0.2938,=4.5285,=3.7319,=3.1905
2023-01-17,=2921.0400,=3284.7200,=963256673547.2900,=779774438204,=518088978712.1599,=3.4084,=0.3240,=4.5285,=3.7321,=3.1905
2023-01-16,=2941.9900,=3308.2800,=971741039655,=786071919667,=523267912657.9899,=3.4384,=0.3472,=4.5285,=3.7323,=3.1905
2023-01-13,=2884.1200,=3243.2100,=952828567601.7596,=770262740114,=511894859062.3801,=3.3715,=0.2954,=4.5285,=3.7325,=3.1905
2023-01-12,=2818.0500,=3168.9100,=929357302968.5604,=750871718106,=498786573803.9100,=3.2885,=0.2386,=4.5289,=3.7326,=3.1887
2023-01-11,=2836.1300,=3189.2500,=934280909739.8102,=755084961365,=500817742339.2001,=3.3059,=0.2503,=4.5289,=3.7327,=3.1887
2023-01-10,=2838.3000,=3191.6900,=933586921335.8202,=754685449945,=500063159842.2202,=3.3034,=0.2482,=4.5289,=3.7328,=3.1887
2023-01-09,=2829.7700,=3182.0900,=934819060845.9600,=754869981217,=500690818828.3800,=3.3078,=0.2516,=4.5289,=3.7330,=3.1887
2023-01-06,=2787.8400,=3134.9400,=918115525095.9202,=742445511365,=491710104471.6600,=3.2487,=0.2222,=4.5289,=3.7335,=3.1887
2023-01-05,=2805.7600,=3155.0900,=920941630606.6700,=746020358148,=493851104732.6900,=3.2814,=0.2355,=4.5324,=3.7339,=3.1870
2023-01-04,=2799.6900,=3148.2700,=919508934597.3400,=744662300757,=493873789595.3600,=3.2763,=0.2345,=4.5324,=3.7349,=3.1870
2023-01-03,=2792.4700,=3140.1500,=918602885654.4802,=743816718153,=493482805968.3000,=3.2731,=0.2324,=4.5324,=3.7358,=3.1870
2022-12-30,=2814,=3164.3600,=929577334255.9900,=751763698761,=499279414236.1701,=3.3122,=0.2512,=4.5324,=3.7362,=3.1870
2022-12-29,=2773.5600,=3118.8900,=915952190522.4800,=740806099936,=491239171712.9401,=3.2637,=0.2294,=4.5324,=3.7366,=3.1870
2022-12-28,=2789.9400,=3137.3000,=923383162128.5900,=746036006791,=495110512892.8400,=3.2901,=0.2372,=4.5327,=3.7367,=3.1862
2022-12-27,=2833.1000,=3185.8400,=935835981271.7600,=755845071881,=502388169859.7200,=3.3345,=0.2632,=4.5327,=3.7368,=3.1862
2022-12-26,=2778.7100,=3124.6800,=921207080868.3600,=743845907329,=493616159530.9598,=3.2824,=0.2347,=4.5327,=3.7372,=3.1862
2022-12-23,=2762.0500,=3105.9400,=913449161677.5698,=738341199132,=489380276706.9498,=3.2548,=0.2277,=4.5327,=3.7375,=3.1862
2022-12-22,=2788.0100,=3135.1300,=914808846566.3400,=744802666213,=494873829309.2900,=3.3307,=0.2598,=4.5327,=3.7390,=3.1862
2022-12-21,=2763.9600,=3108.0800,=902272842866.2500,=736239916296,=488739175473.8101,=3.2984,=0.2412,=4.5333,=3.7404,=3.1829
2022-12-20,=2730.7600,=3070.7500,=888855174305.0601,=726391710558,=481207127281.3002,=3.2493,=0.2236,=4.5333,=3.7405,=3.1829
2022-12-19,=2794.7700,=3142.7400,=907195171418.4098,=740941602395,=491060376335.9801,=3.3164,=0.2514,=4.5333,=3.7406,=3.1829
2022-12-16,=2874.2800,=3232.1400,=929504326549,=758798662963,=502995119626.9100,=3.3979,=0.3096,=4.5333,=3.7408,=3.1829
