日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-08-16,=6447.4000,=7405.6200,=2537536585501.3198,=2173152388441,=1340974407911.8359,=3.3364,=0.8464,=3.2351,=2.7970,=2.1892
2022-08-15,=6529.0400,=7499.3900,=2563258890461.2388,=2198340616060,=1357855320339.2520,=3.3801,=0.8579,=3.2351,=2.7970,=2.1892
2022-08-12,=6424.5100,=7379.3300,=2518493977433.9702,=2158042783580,=1336505361202.1150,=3.3433,=0.8483,=3.2344,=2.7969,=2.1892
2022-08-11,=6413.8700,=7367.1000,=2513331639389.3491,=2154918114255,=1334131071599.2507,=3.3364,=0.8470,=3.2344,=2.7968,=2.1888
2022-08-10,=6394.2400,=7344.5500,=2496173281359.5498,=2142291460704,=1330336122458.3862,=3.3143,=0.8405,=3.2341,=2.7967,=2.1888
2022-08-09,=6405.9000,=7357.9500,=2494044735917.9189,=2140270262160,=1332317543129.4709,=3.2881,=0.8313,=3.2338,=2.7966,=2.1888
2022-08-08,=6342.9700,=7285.6600,=2462933566811.5601,=2112741502045,=1319470898020.1953,=3.2471,=0.8079,=3.2336,=2.7964,=2.1888
2022-08-05,=6294.6900,=7230.2100,=2445964410348.1904,=2097859191623,=1309974058114.3655,=3.2512,=0.8123,=3.2335,=2.7964,=2.1888
2022-08-04,=6144.0600,=7057.1900,=2392224588948.3101,=2051244286029,=1278264139806.9856,=3.1798,=0.7721,=3.2335,=2.7964,=2.1888
2022-08-03,=6080.3800,=6984.0400,=2363943103075.8198,=2027599957141,=1264928300414.4453,=3.1435,=0.7455,=3.2335,=2.7963,=2.1888
2022-08-02,=6146.3100,=7059.7700,=2382546302017.2095,=2042747094573,=1279150411864.4980,=3.1682,=0.7655,=3.2335,=2.7963,=2.1888
2022-08-01,=6356.0700,=7300.7100,=2460833639251.1602,=2111405057130,=1322995843084.4485,=3.2723,=0.8216,=3.2335,=2.7952,=2.1888
2022-07-29,=6266.4800,=7197.8100,=2431658874262.4399,=2086643684174,=1304810333075.1465,=3.2335,=0.8002,=3.2322,=2.7941,=2.1888
2022-07-28,=6291.0500,=7226.0200,=2438967736163.1797,=2093211875646,=1309884274915.0308,=3.2432,=0.8062,=3.2322,=2.7928,=2.1884
2022-07-27,=6299.5300,=7235.7700,=2440121423079.4302,=2093839591463,=1311757679247.4331,=3.2448,=0.8077,=3.2316,=2.7915,=2.1884
2022-07-26,=6305.0900,=7242.1500,=2440296206081.4102,=2093846572681,=1313532387049.2185,=3.2537,=0.8125,=3.2300,=2.7915,=2.1884
2022-07-25,=6191.8900,=7112.1300,=2395093359966.8491,=2055859460871,=1289493245210.3962,=3.1934,=0.7810,=3.2289,=2.7915,=2.1884
2022-07-22,=6226.4000,=7148.9900,=2410592314397.6201,=2068218880328,=1296069043991.0471,=3.2096,=0.7894,=3.2289,=2.7911,=2.1884
2022-07-21,=6239.1700,=7163.6500,=2421923954722.4399,=2073982838436,=1298528792727.6599,=3.2247,=0.7953,=3.2300,=2.7908,=2.1873
2022-07-20,=6372.8300,=7317.1200,=2462883616209.8398,=2108788563474,=1326909446603.8213,=3.2792,=0.8263,=3.2300,=2.7904,=2.1873
2022-07-19,=6299.2000,=7232.5700,=2433801253237.8101,=2083627674161,=1311553498087.0117,=3.2405,=0.8048,=3.2289,=2.7901,=2.1873
2022-07-18,=6316.5900,=7252.5400,=2443975843238.8989,=2091010711266,=1315509865952.7366,=3.2540,=0.8128,=3.2277,=2.7896,=2.1873
2022-07-15,=6213.8500,=7134.5700,=2398165602486.2012,=2052491213463,=1294178339547.7432,=3.1930,=0.7825,=3.2277,=2.7891,=2.1873
2022-07-14,=6323.9400,=7260.9800,=2439203854331.7505,=2088334905219,=1316854507580.2590,=3.2476,=0.8090,=3.2277,=2.7889,=2.1871
2022-07-13,=6314.1200,=7249.7000,=2436411562101.2012,=2084900289452,=1315552674203.7871,=3.2439,=0.8082,=3.2277,=2.7887,=2.1871
2022-07-12,=6313.2600,=7248.7200,=2418212508120.4102,=2087300512133,=1315788812633.1428,=3.2197,=0.7935,=3.2275,=2.7885,=2.1871
2022-07-11,=6403.9300,=7352.8200,=2450201039185.6895,=2116645454632,=1335262631278.5293,=3.2622,=0.8165,=3.2275,=2.7882,=2.1871
2022-07-08,=6672.6100,=7660.8300,=2547540847249.4307,=2201966538876,=1391080999212.0642,=3.3914,=0.8617,=3.2273,=2.7865,=2.1871
2022-07-07,=6736.3000,=7727.3000,=2569388339646.3301,=2219175678932,=1403426231167.2109,=3.4128,=0.8669,=3.2273,=2.7848,=2.1865
2022-07-06,=6673.3000,=7652.3800,=2545555442800.0308,=2190558560335,=1390929411488.8174,=3.3742,=0.8563,=3.2272,=2.7844,=2.1865
2022-07-05,=6843.4100,=7847.4500,=2613686567104.2095,=2253354187458,=1426149964904.8464,=3.4645,=0.8834,=3.2266,=2.7841,=2.1865
2022-07-04,=6785.5000,=7781.0500,=2596818294067.3110,=2237118805863,=1413758112291.2854,=3.4422,=0.8773,=3.2263,=2.7834,=2.1865
2022-07-01,=6682.1600,=7661.2700,=2562116800858.6499,=2202931899561,=1392002656806.1541,=3.3942,=0.8639,=3.2256,=2.7827,=2.1865
2022-06-30,=6554.5500,=7514.9600,=2516228419251.7104,=2164889364879,=1364831365592.0459,=3.3334,=0.8468,=3.2256,=2.7827,=2.1861
2022-06-29,=6434.8100,=7377.2400,=2472741065359.6802,=2127460260287,=1340237490386.9353,=3.2754,=0.8260,=3.2253,=2.7827,=2.1861
2022-06-28,=6691.2600,=7671.2500,=2567584473998.5703,=2209807202421,=1392864775430.8745,=3.4010,=0.8653,=3.2252,=2.7812,=2.1861
2022-06-27,=6582.5200,=7541.4500,=2531258308681.3589,=2173461793298,=1370829434276.6184,=3.3458,=0.8502,=3.2245,=2.7798,=2.1861
2022-06-24,=6369.7300,=7297.6600,=2459210025753.5098,=2112735304279,=1326469192597.8333,=3.2505,=0.8157,=3.2242,=2.7795,=2.1861
2022-06-23,=6403.7800,=7336.1500,=2467413699572.2100,=2119975181672,=1334059277579.6973,=3.2599,=0.8184,=3.2242,=2.7793,=2.1847
2022-06-22,=6310.8500,=7228.6800,=2440477327473.0200,=2095880494229,=1314841900793.0403,=3.2227,=0.7993,=3.2241,=2.7792,=2.1847
2022-06-21,=6339.0200,=7260.9400,=2450274119987.8101,=2104186870029,=1321055622706.4658,=3.2357,=0.8093,=3.2241,=2.7791,=2.1847
2022-06-20,=6560.7500,=7513.4200,=2536360364536.7905,=2179738989580,=1366670865711.6189,=3.3453,=0.8499,=3.2233,=2.7783,=2.1847
2022-06-17,=6630.8300,=7593.6700,=2565855734945.4790,=2205481343130,=1381650051733.8691,=3.3842,=0.8596,=3.2221,=2.7776,=2.1847
2022-06-16,=6459.6500,=7395.3500,=2502044308373.9702,=2150674290225,=1346251665239.3752,=3.2968,=0.8360,=3.2221,=2.7772,=2.1836
