日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-01-21,=11961.9300,=13782.9300,=4756210096686.6602,=3895593348495,=2372479448709.0503,=5.1059,=0.7233,=5.4888,=4.3977,=3.9442
2022-01-20,=12280.1500,=14149.6000,=4875517825695.7412,=4000027335346,=2434864751235.7095,=5.2340,=0.7458,=5.4888,=4.3972,=3.9442
2022-01-19,=12340.0300,=14218.5900,=4890317907884.1113,=4005158706061,=2445931299821.5391,=5.2498,=0.7480,=5.4888,=4.3966,=3.9435
2022-01-18,=12667.5400,=14595.9600,=5011781020488.3496,=4105748304392,=2511401829356.9189,=5.3802,=0.7738,=5.4888,=4.3965,=3.9435
2022-01-17,=12766.7300,=14710.2400,=5047906307522.8496,=4132644590609,=2529154308692.0103,=5.4190,=0.7826,=5.4888,=4.3964,=3.9435
2022-01-14,=12719.2800,=14655.5700,=5022043311185.4902,=4110548073004,=2519001013212.8501,=5.3913,=0.7766,=5.4888,=4.3964,=3.9435
2022-01-13,=12627.4400,=14549.7500,=4977085383898.5898,=4073057757457,=2501320949455.2397,=5.3430,=0.7657,=5.4888,=4.3964,=3.9435
2022-01-12,=12889.1800,=14851.3400,=5083098694382.2100,=4158836559232,=2553006574366.5298,=5.4568,=0.7919,=5.4900,=4.3963,=3.9434
2022-01-11,=12786.1200,=14732.5800,=5033743877020.4102,=4127679383053,=2531661530024.4199,=5.4038,=0.7797,=5.4900,=4.3962,=3.9434
2022-01-10,=12785.9600,=14732.4000,=5036789182620.0508,=4132551105891,=2529997669199.3091,=5.4071,=0.7806,=5.4900,=4.3960,=3.9434
2022-01-07,=12633.8400,=14557.1200,=4977838397020.3604,=4092248041769,=2498527006172.7588,=5.3438,=0.7668,=5.4900,=4.3959,=3.9434
2022-01-06,=12679.2900,=14609.4900,=5008845786570.8105,=4115880625256,=2508937691113.2798,=5.3771,=0.7739,=5.4900,=4.3959,=3.9434
2022-01-05,=12766.0600,=14709.4700,=5049834019707.6289,=4145211534517,=2526154921110.8398,=5.4211,=0.7827,=5.4930,=4.3958,=3.9429
2022-01-04,=12959.3000,=14932.1300,=5131191025443.0479,=4207545357711,=2563205369125.4399,=5.5084,=0.8037,=5.4930,=4.3952,=3.9429
2021-12-31,=13253.9000,=15271.5800,=5250284603799.4307,=4306029527486,=2627186204306.7305,=5.6363,=0.8385,=5.4900,=4.3945,=3.9429
2021-12-30,=13172.7100,=15178.0300,=5212604077331.2510,=4271758505837,=2612373344345.3496,=5.5962,=0.8269,=5.4888,=4.3941,=3.9429
2021-12-29,=13106.3400,=15101.5600,=5187737954631.3193,=4248372845795,=2598351291207.6211,=5.5695,=0.8186,=5.4888,=4.3937,=3.9429
2021-12-28,=13250.8600,=15268.0700,=5247948208943.7510,=4299463871826,=2625475845066.8799,=5.6342,=0.8380,=5.4888,=4.3935,=3.9408
2021-12-27,=13164.9800,=15169.1200,=5215541258679.3906,=4273467218943,=2606254644066.9995,=5.5994,=0.8287,=5.4846,=4.3932,=3.9408
2021-12-24,=13043.2800,=15028.8900,=5170212924988.2412,=4229248619620,=2581812939950.7705,=5.5507,=0.8145,=5.4843,=4.3931,=3.9408
2021-12-23,=12972.4800,=14947.3200,=5138826600001.2803,=4203239853139,=2569758523272.6899,=5.5170,=0.8062,=5.4839,=4.3930,=3.9408
2021-12-22,=13058.0900,=15045.9600,=5173075017908.9316,=4224670485840,=2586423313542.5698,=5.5538,=0.8147,=5.4826,=4.3929,=3.9408
2021-12-21,=13041.3500,=15026.6700,=5162520722943.0791,=4212862277490,=2583978600476.7100,=5.5424,=0.8123,=5.4826,=4.3928,=3.9405
2021-12-20,=12904.9300,=14869.4800,=5105488277018.9688,=4161262598809,=2556035069428.6099,=5.4814,=0.7997,=5.4824,=4.3924,=3.9405
2021-12-17,=13082.8000,=15074.4400,=5161171063149.4385,=4204877692187,=2594929317603.4097,=5.5412,=0.8122,=5.4824,=4.3920,=3.9405
2021-12-16,=13215.5800,=15227.4300,=5220663032554.2510,=4245189493875,=2621475204694.6104,=5.6051,=0.8306,=5.4784,=4.3917,=3.9405
2021-12-15,=13150.5700,=15152.5100,=5199857248186.3291,=4227707372598,=2608074411434.6597,=5.5828,=0.8250,=5.4724,=4.3914,=3.9405
2021-12-14,=13550.8800,=15613.7700,=5355220925130.9805,=4353034759494,=2691325960151.4697,=5.7496,=0.8609,=5.4724,=4.3913,=3.9398
2021-12-13,=13471.3800,=15522.1600,=5323695979085.1309,=4325045021077,=2675110596481.7612,=5.7157,=0.8549,=5.4714,=4.3912,=3.9398
2021-12-10,=13527.7700,=15587.1400,=4552765196726.2305,=3732238673261,=2366316077373.8501,=4.9597,=0.7114,=5.4708,=4.3905,=3.9398
2021-12-09,=13685.1800,=15768.5100,=4592562367267.1904,=3774959549637,=2392734799178.1997,=5.0030,=0.7179,=5.4708,=4.3898,=3.9398
2021-12-08,=13379.3200,=15416.0900,=4484877227899.7100,=3691105720842,=2340262799401.5693,=4.8857,=0.6940,=5.4708,=4.3894,=3.9398
2021-12-07,=13227.9200,=15241.6500,=4435444998053.5391,=3651228577000,=2312851547652.3599,=4.8319,=0.6860,=5.4714,=4.3891,=3.9396
2021-12-06,=13155.9200,=15158.6800,=4409523576776.9189,=3629587514016,=2301429696532.4189,=4.8036,=0.6806,=5.4714,=4.3888,=3.9396
2021-12-03,=13375.1100,=15411.2400,=4476509573780.8691,=3684817604281,=2341276665229.5601,=4.8774,=0.6927,=5.4714,=4.3885,=3.9396
